Date,Team (Home),Time,Team (Away),Stage,Group,Stadium,City
Thursday 25 June 2026,Ecuador,4:00 PM,Germany,First Stage,Group E,New York/New Jersey Stadium,New Jersey
Thursday 25 June 2026,Japan,7:00 PM,Sweden,First Stage,Group F,Dallas Stadium,Dallas
Thursday 25 June 2026,Tunisia,7:00 PM,Netherlands,First Stage,Group F,Kansas City Stadium,Kansas City
Thursday 25 June 2026,Turkiye,10:00 PM,USA,First Stage,Group D,Los Angeles Stadium,Los Angeles
Thursday 25 June 2026,Paraguay,10:00 PM,Australia,First Stage,Group D,San Francisco Bay Area Stadium,San Francisco Bay Area
,,,,,,,
Friday 26 June 2026,Norway,3:00 PM,France,First Stage,Group I,Boston Stadium,Boston
Friday 26 June 2026,Senegal,3:00 PM,Iraq,First Stage,Group I,Toronto Stadium,Toronto
Friday 26 June 2026,Cabo Verde,8:00 PM,Saudi Arabia,First Stage,Group H,Houston Stadium,Houston
Friday 26 June 2026,Uruguay,8:00 PM,Spain,First Stage,Group H,Guadalajara Stadium,Guadalajara
Friday 26 June 2026,Egypt,11:00 PM,IR Iran,First Stage,Group G,Seattle Stadium,Seattle
Friday 26 June 2026,New Zealand,11:00 PM,Belgium,First Stage,Group G,BC Place Vancouver,Vancouver
,,,,,,,
Saturday 27 June 2026,Panama,5:00 PM,England,First Stage,Group L,New York/New Jersey Stadium,New Jersey
Saturday 27 June 2026,Croatia,5:00 PM,Ghana,First Stage,Group L,Philadelphia Stadium,Philadelphia
Saturday 27 June 2026,Colombia,7:30 PM,Portugal,First Stage,Group K,Miami Stadium,Miami
Saturday 27 June 2026,Congo DR,7:30 PM,Uzbekistan,First Stage,Group K,Atlanta Stadium,Atlanta
Saturday 27 June 2026,Algeria,10:00 PM,Austria,First Stage,Group J,Kansas City Stadium,Kansas City
Saturday 27 June 2026,Jordan,10:00 PM,Argentina,First Stage,Group J,Dallas Stadium,Dallas
